intent,query
ask_restaurant_location,"I'm trying to find Shuzhiwei, can someone help?"
ask_restaurant_location,How do I get to Shu Zhi Wei restaurant?
ask_restaurant_location,Where is Shu Zhi Wei located at?
ask_restaurant_location,Can you tell me the address of Shu Zhi Wei?
ask_restaurant_location,What is the nearest route to Shu Zhi Wei restaurant?
ask_restaurant_location,How do I get to 蜀之味?
ask_restaurant_location,Where is 蜀之味 located in campus?
ask_restaurant_location,Can you give me directions to 蜀之味 restaurant?
ask_restaurant_location,What is the nearest route to 蜀之味 restaurant?
ask_restaurant_location,Where is Dachengxiaochu located?
ask_restaurant_location,How do I get to Dachengxiaochu restaurant?
ask_restaurant_location,Can you show me the way to Dachengxiaochu?
ask_restaurant_location,What are the directions to Dachengxiaochu?
ask_restaurant_location,where is Dacheng Xiaochu located?
ask_restaurant_location,how do i get to Dacheng Xiaochu restaurant?
ask_restaurant_location,what are the directions to Dacheng Xiaochu?
ask_restaurant_location,can you give me the address of Dacheng Xiaochu?
ask_restaurant_location,Where is Da Cheng Xiao Chu located?
ask_restaurant_location,How do I get to Da Cheng Xiao Chu restaurant from here?
ask_restaurant_location,What are the directions to Da Cheng Xiao Chu?
ask_restaurant_location,Can you give me the address of Da Cheng Xiao Chu?
ask_restaurant_location,How do I get to 大城小厨?
ask_restaurant_location,Where is 大城小厨 located?
ask_restaurant_location,Can you give me directions to 大城小厨?
ask_restaurant_location,What's the address of 大城小厨?
ask_restaurant_location,How do I get to Hualianhaoliangcha restaurant?
ask_restaurant_location,Can you tell me where is Hualianhaoliangcha located?
ask_restaurant_location,What is the nearest MRT to Hualianhaoliangcha restaurant?
ask_restaurant_location,How far is Hualianhaoliangcha from my current location?
ask_restaurant_location,What is the location of HualiAnHaoLiangCha?
ask_restaurant_location,Where can I find HualiAnHaoLiangCha near me?
ask_restaurant_location,How do I get to HualiAnHaoLiangCha?
ask_restaurant_location,Where is HualiAnHaoLiangCha located?
ask_restaurant_location,Where is Hua Lian Hao Liang Cha located?
ask_restaurant_location,How do I get to Hua Lian Hao Liang Cha?
ask_restaurant_location,Where is 华联好凉茶 located?
ask_restaurant_location,Can you tell me how to get to 华联好凉茶?
ask_restaurant_location,"I'm looking for 华联好凉茶, can you show me the way?"
ask_restaurant_location,What's the address of 华联好凉茶?
ask_restaurant_location,Where is Xiaoyunbing's restaurant located?
ask_restaurant_location,Can you tell me how to get to Xiaoyunbingshi?
ask_restaurant_location,What are the directions to Xiaoyunbingshi restaurant?
ask_restaurant_location,"I'm looking for Xiaoyunbingshi, can you give me their address?"
ask_restaurant_location,Where is xiaoyunbingshi located?
ask_restaurant_location,How do I get to xiaoyunbingshi restaurant?
ask_restaurant_location,What are the directions to xiaoyunbingshi?
ask_restaurant_location,Can you tell me where xiaoyunbingshi is?
ask_restaurant_location,Where is Xiao Yun Bing Shi located?
ask_restaurant_location,Can you give me directions to Xiao Yun Bing Shi?
ask_restaurant_location,How far is Xiao Yun Bing Shi from my current location?
ask_restaurant_location,What are the nearest public transportation options to Xiao Yun Bing Shi?
ask_restaurant_location,Where is 小云冰室 located?
ask_restaurant_location,How do I get to 小云冰室 from here?
ask_restaurant_location,Can you tell me the address of 小云冰室?
ask_restaurant_location,What's the nearest MRT station to 小云冰室?
ask_restaurant_location,where is Dazhizhi located?
ask_restaurant_location,how to get to Dazhizhi restaurant?
ask_restaurant_location,what's the address of Dazhizhi?
ask_restaurant_location,can you tell me how far is my place from Dazhizhi?
ask_restaurant_location,Where is dazhizhi located?
ask_restaurant_location,How do I get to dazhizhi restaurant?
ask_restaurant_location,What are the directions to dazhizhi?
ask_restaurant_location,Can you give me dazhizhi's address?
ask_restaurant_location,How far is Da Zhi Zhi from my location?
ask_restaurant_location,What are the directions to get to Da Zhi Zhi?
ask_restaurant_location,Can you tell me how to find Da Zhi Zhi on the map?
ask_restaurant_location,Where exactly is Da Zhi Zhi located?
ask_restaurant_location,Where is 大拇指 located?
ask_restaurant_location,How do I get to 大拇指 restaurant?
ask_restaurant_location,Where is Miaomiaoqingshi located?
ask_restaurant_location,How do I get to Miaomiaoqingshi restaurant?
ask_restaurant_location,Can you give me directions to Miaomiaoqingshi?
ask_restaurant_location,What's the nearest way to reach Miaomiaoqingshi?
ask_restaurant_location,Where is Miaomiaoqing's restaurant located?
ask_restaurant_location,How do I get to Miaomiaoqing's restaurant from here?
ask_restaurant_location,Can you give me directions to Miaomiaoqing's restaurant?
ask_restaurant_location,What are the nearest public transportation options to Miaomiaoqing's restaurant?
ask_restaurant_location,Where is Miao Miao Qing Shi located?
ask_restaurant_location,Can you give me directions to Miao Miao Qing Shi restaurant?
ask_restaurant_location,How do I get to Miao Miao Qing Shi?
ask_restaurant_location,What are the nearest places to Miao Miao Qing Shi?
ask_restaurant_location,How to get to 喵喵轻食?
ask_restaurant_location,Where is 喵喵轻食 located?
ask_restaurant_location,Can you give me directions to 喵喵轻食?
ask_restaurant_location,What's the address of 喵喵轻食?
ask_restaurant_location,where is Dawanmian located?
ask_restaurant_location,how do I get to Dawanmian restaurant?
ask_restaurant_location,Can you give me directions to Dawanmian?
ask_restaurant_location,What's the address of Dawanmian?
ask_restaurant_location,What is the location of Dawanmian?
ask_restaurant_location,Can you tell me how to get to Dawanmian restaurant?
ask_restaurant_location,Where is Dawanmian located at?
ask_restaurant_location,How do I find Dawanmian restaurant?
ask_restaurant_location,Where is Da Wan Mian located?
ask_restaurant_location,How do I get to Da Wan Mian restaurant?
ask_restaurant_location,Can you tell me the address of Da Wan Mian?
ask_restaurant_location,What's the nearest location to Da Wan Mian?
ask_restaurant_location,where is 大碗面 located?
ask_restaurant_location,how do i get to restaurant 大碗面?
ask_restaurant_location,can you give me directions to 大碗面?
ask_restaurant_location,what is the address of 大碗面?
ask_restaurant_location,How do I get to U&I: restaurant?
ask_restaurant_location,Where is U&I: restaurant located?
ask_restaurant_location,Can you tell me the address of U&I: restaurant?
ask_restaurant_location,What are the directions to U&I: restaurant?
ask_restaurant_location,Where is the restaurant located?
ask_restaurant_location,Can you tell me how to get to the restaurant?
ask_restaurant_location,What's the address of restaurant?
ask_restaurant_location,How do I go to the restaurant?
ask_restaurant_location,Where is U located?
ask_restaurant_location,Can I find restaurant near me?
ask_restaurant_location,How do I get to U restaurant?
ask_restaurant_location,What are the directions to restaurant U?
ask_restaurant_location,How do I get to UI Restaurant?
ask_restaurant_location,Where is UI Restaurant located?
ask_restaurant_location,Can you direct me to UI Restaurant?
ask_restaurant_location,What are the directions to reach UI Restaurant?
ask_restaurant_location,Where is Xiaotaifeng located?
ask_restaurant_location,How do I get to Xiaotaifeng restaurant?
ask_restaurant_location,What's the address of Xiaotaifeng?
ask_restaurant_location,Can you give me directions to Xiaotaifeng?
ask_restaurant_location,What is the address of xiaotaifeng restaurant?
ask_restaurant_location,How to get to xiaotaifeng restaurant?
ask_restaurant_location,Where is xiaotaifeng located?
ask_restaurant_location,Can you provide directions to xiaotaifeng restaurant?
ask_restaurant_location,How do I get to Xiao Tai Feng?
ask_restaurant_location,What is the address of Xiao Tai Feng restaurant?
ask_restaurant_location,Can you tell me the location of Xiao Tai Feng?
ask_restaurant_location,Where is Xiao Tai Feng located?
ask_restaurant_location,where is 小台枫 located?
ask_restaurant_location,how do i get to 小台枫?
ask_restaurant_location,what are the directions to 小台枫 restaurant?
ask_restaurant_location,can you give me the address of 小台枫?
ask_restaurant_location,Where is Restaurant Kabaabish located?
ask_restaurant_location,Can you give me directions to Restaurant Kabaabish?
ask_restaurant_location,How far is Restaurant Kabaabish from my current location?
ask_restaurant_location,What are the nearest landmarks to find Restaurant Kabaabish?
ask_restaurant_location,where is Kabaabish located?
ask_restaurant_location,how to get to Kabaabish?
ask_restaurant_location,is Kabaabish nearby?
ask_restaurant_location,can i find Kabaabish here?
ask_restaurant_location,How can I find Kabaabish restaurant?
ask_restaurant_location,What is the location of Kabaabish?
ask_restaurant_location,Where can I locate Kabaabish restaurant nearby?
ask_restaurant_location,Can you give me directions to Kabaabish?
ask_restaurant_location,How far is Kabaabish from my location?
ask_restaurant_location,What are the directions to Kabaabish restaurant?
ask_restaurant_location,Is Kabaabish located near me?
ask_restaurant_location,Can you provide me with the map coordinates of Kabaabish?
ask_restaurant_location,Where is Sapid located?
ask_restaurant_location,Can you tell me how to get to Sapid?
ask_restaurant_location,What's the address of Sapid?
ask_restaurant_location,"I'm looking for directions to Sapid, can you help?"
ask_restaurant_location,Where is Sapid restaurant located?
ask_restaurant_location,Can you give me directions to Sapid restaurant?
ask_restaurant_location,How far is Sapid restaurant from my current location?
ask_restaurant_location,What are the nearest public transportation options to get to Sapid restaurant?
ask_restaurant_location,Where is the nearest restaurant?
ask_restaurant_location,Can you give me directions to the restaurant I want to go to?
ask_restaurant_location,What is the address of Saffron Club?
ask_restaurant_location,Can you tell me how to get to Saffron Club?
ask_restaurant_location,Where is Saffron Club located?
ask_restaurant_location,How do I find Saffron Club on a map?
ask_restaurant_location,What is the location of Saffron Club?
ask_restaurant_location,Where can I find Saffron Club restaurant?
ask_restaurant_location,How do I get to Saffron Club?
ask_restaurant_location,Can you tell me where Saffron Club is located?
ask_restaurant_location,Where is Saffron located?
ask_restaurant_location,Can you give me directions to Saffron?
ask_restaurant_location,How far is Saffron from my current location?
ask_restaurant_location,What are the nearest public transport options to get to Saffron?
ask_restaurant_location,Where is Saffron located?
ask_restaurant_location,Can you give me directions to Saffron?
ask_restaurant_location,How do I get to Saffron's restaurant?
ask_restaurant_location,What are the nearest landmarks to Saffron?
ask_restaurant_location,How far is Poke Bowl Rice from my location?
ask_restaurant_location,Can you give me directions to Poke Bowl Rice restaurant?
ask_restaurant_location,Where exactly is Poke Bowl Rice located?
ask_restaurant_location,What is the nearest public transport to Poke Bowl Rice?
ask_restaurant_location,Where can I find Poke Bowl Rice near me?
ask_restaurant_location,How do I get to Poke Bowl Rice restaurant?
ask_restaurant_location,What is the address of Poke Bowl Rice?
ask_restaurant_location,Can you give me directions to Poke Bowl Rice?
ask_restaurant_location,where is Poke Bowl located?
ask_restaurant_location,how do i get to Poke Bowl?
ask_restaurant_location,can you give me directions to Poke Bowl?
ask_restaurant_location,what are the nearest locations to Poke Bowl?
ask_restaurant_location,Where is Poke Bowl located?
ask_restaurant_location,How do I get to Poke Bowl restaurant?
ask_restaurant_location,Can you tell me the address of Poke Bowl?
ask_restaurant_location,What are the directions to Poke Bowl?
ask_restaurant_location,where is Zone U Bakery located?
ask_restaurant_location,how do i get to Zone U Bakery?
ask_restaurant_location,can you direct me to Zone U Bakery?
ask_restaurant_location,what are the directions to Zone U Bakery?
ask_restaurant_location,Where is U Bakery located?
ask_restaurant_location,How do I get to U Bakery restaurant from here?
ask_restaurant_location,What's the address of U Bakery restaurant in zone U?
ask_restaurant_location,Can you give me directions to U Bakery?
ask_restaurant_location,How do I get to Zone U restaurants?
ask_restaurant_location,Where are Zone U restaurants located?
ask_restaurant_location,Can you provide directions to Zone U restaurant?
ask_restaurant_location,What's the nearest location of Zone U restaurant?
ask_restaurant_location,How do I get to ZoneU Bakery?
ask_restaurant_location,Where is ZoneU Bakery located?
ask_restaurant_location,Can you tell me the location of ZoneU Bakery?
ask_restaurant_location,What are the directions to ZoneU Bakery?
ask_restaurant_location,Where is Zhongminmeishi located?
ask_restaurant_location,Can you give me directions to Zhongminmeishi restaurant?
ask_restaurant_location,How far is Zhongminmeishi from my current location?
ask_restaurant_location,What are the nearest public transportation options for getting to Zhongminmeishi?
ask_restaurant_location,How do I get to Zhong Min Mei Shi?
ask_restaurant_location,Where is Zhong Min Mei Shi located at?
ask_restaurant_location,Can you tell me how to find Zhong Min Mei Shi?
ask_restaurant_location,What's the address of Zhong Min Mei Shi?
ask_restaurant_location,Where is Zhong Min Mei Shi located?
ask_restaurant_location,How do I get to Zhong Min Mei Shi from here?
ask_restaurant_location,Can you give me directions to Zhong Min Mei Shi?
ask_restaurant_location,Is Zhong Min Mei Shi nearby?
ask_restaurant_location,How do I get to 中闽美食?
ask_restaurant_location,What is the address of 中闽美食?
ask_restaurant_location,Can you tell me the location of 中闽美食?
ask_restaurant_location,Where is 中闽美食 restaurant located?
ask_restaurant_location,How to get to Bean's Express?
ask_restaurant_location,Where is Bean's Express located?
ask_restaurant_location,Can you give me directions to Bean's Express?
ask_restaurant_location,What are the nearest places to Bean's Express?
ask_restaurant_location,where is Beans Express located?
ask_restaurant_location,Can you direct me to Beans Express?
ask_restaurant_location,How do I get to Beans Express restaurant?
ask_restaurant_location,What's the address of Beans Express?
ask_restaurant_location,Where is Beans Express located?
ask_restaurant_location,Can you tell me how to get to Beans Express?
ask_restaurant_location,"I'm looking for Beans Express, can you direct me there?"
ask_restaurant_location,What's the address of Beans Express?
ask_restaurant_location,How do I get to Bean Express?
ask_restaurant_location,Where is Bean Express located?
ask_restaurant_location,Can you tell me how to find Bean Express?
ask_restaurant_location,What's the address of Bean Express?
ask_restaurant_location,How do I get to Mad Plate Express?
ask_restaurant_location,What is the nearest location of Mad Plate Express restaurant?
ask_restaurant_location,Can you provide directions to Mad Plate Express?
ask_restaurant_location,Where is Mad Plate Express located?
ask_restaurant_location,Where is Mad Plate Express located?
ask_restaurant_location,Can you give me directions to Mad Plate Express?
ask_restaurant_location,How far is Mad Plate Express from my location?
ask_restaurant_location,What are the nearest routes to Mad Plate Express?
ask_restaurant_location,Where is Mad Plate located?
ask_restaurant_location,Can you give me directions to Mad Plate?
ask_restaurant_location,How do I get to Mad Plate restaurant?
ask_restaurant_location,What is the address of Mad Plate?
ask_restaurant_location,How far is MadPlate Express from my location?
ask_restaurant_location,Where can I find MadPlate Express nearby?
ask_restaurant_location,Where is Xiaojiuzhou located?
ask_restaurant_location,Can you tell me how to get to Xiaojiuzhou?
ask_restaurant_location,What are the directions to Xiaojiuzhou restaurant?
ask_restaurant_location,How do I find Xiaojiuzhou on the map?
ask_restaurant_location,Where is Xiaojiuzhou Restaurant located?
ask_restaurant_location,How do I get to Xiaojiuzhou Restaurant from here?
ask_restaurant_location,What are the directions to Xiaojiuzhou Restaurant?
ask_restaurant_location,Can you give me the address of Xiaojiuzhou Restaurant?
ask_restaurant_location,How do I get to Xiao Jiu Zhou?
ask_restaurant_location,Where is Xiao Jiu Zhou located?
ask_restaurant_location,Can you give me directions to Xiao Jiu Zhou?
ask_restaurant_location,What are the nearest public transport options to Xiao Jiu Zhou?
ask_restaurant_location,where is 小九州 located?
ask_restaurant_location,how do i get to 小九州 restaurant?
ask_restaurant_location,what is the address of 小九州?
ask_restaurant_location,can you tell me the location of 小九州?
ask_restaurant_location,Where is Shanyicheng located?
ask_restaurant_location,How can I get to Shanyicheng restaurant?
ask_restaurant_location,What are the directions to Shanyicheng?
ask_restaurant_location,Can you provide me with the address of Shanyicheng restaurant?
ask_restaurant_location,How far is Shanyi Restaurant from me?
ask_restaurant_location,Can you give me directions to Shanyi Restaurant?
ask_restaurant_location,What's the nearest MRT station to Shanyi Restaurant?
ask_restaurant_location,"I'm looking for a restaurant, where can I find Shanyi Restaurant?"
ask_restaurant_location,How do I get to Shan Yi Cheng?
ask_restaurant_location,Where is Shan Yi Cheng located?
ask_restaurant_location,Can you tell me directions to Shan Yi Cheng?
ask_restaurant_location,What's the address of Shan Yi Cheng?
ask_restaurant_location,where is 膳一城 located?
ask_restaurant_location,how do i get to 膳一城?
ask_restaurant_location,what are the directions to 膳一城?
ask_restaurant_location,can you give me the address of 膳一城?
ask_restaurant_location,How do I get to Penang Feng Wei restaurant?
ask_restaurant_location,What is the location of Penang Feng Wei?
ask_restaurant_location,Can you tell me the address of Penang Feng Wei restaurant?
ask_restaurant_location,Where is Penang Feng Wei located?
ask_restaurant_location,How do I get to PenangFeng Wei?
ask_restaurant_location,What is the nearest MRT station to Penang Fong Wei?
ask_restaurant_location,Can you give me directions to Penang Feng Wei?
ask_restaurant_location,Where is PenangFeng Wei located?
ask_restaurant_location,How do I get to Penang Feng Wei from my hotel?
ask_restaurant_location,Where is Penang Feng Wei located in George Town?
ask_restaurant_location,Can you give me directions to Penang Feng Wei please?
ask_restaurant_location,"I am lost, where can I find Penang Feng Wei?"
ask_restaurant_location,where is 槟城风味 located?
ask_restaurant_location,how to get to 槟城风味 restaurant?
ask_restaurant_location,is 槟城风味 near me?
ask_restaurant_location,what's the address of 槟城风味?
ask_restaurant_location,Where is Jiaweishixuan located?
ask_restaurant_location,How do I get to Jiaweishixuan restaurant?
ask_restaurant_location,Can you provide directions to Jiaweishixuan?
ask_restaurant_location,What is the nearest landmark to Jiaweishixuan?
ask_restaurant_location,Where is jiaweishixuan located?
ask_restaurant_location,Can you give me directions to jiaweishixuan restaurant?
ask_restaurant_location,How far is jiaweishixuan from my current location?
ask_restaurant_location,What's the address of jiaweishixuan restaurant?
ask_restaurant_location,How do I get to Jia Wei Shi Xuan?
ask_restaurant_location,What is the nearest location of Jia Wei Shi Xuan?
ask_restaurant_location,Where can I find Jia Wei Shi Xuan restaurant?
ask_restaurant_location,Can you tell me how to reach Jia Wei Shi Xuan?
ask_restaurant_location,How do I get to 佳味食轩?
ask_restaurant_location,What is the location of restaurant 佳味食轩?
ask_restaurant_location,Can you tell me where 佳味食轩 is located?
ask_restaurant_location,"I'm looking for the address of 佳味食轩, can you help?"
ask_restaurant_location,Where is the nearest Chinese Muslim Xiaochao restaurant?
ask_restaurant_location,How can I get to the Chinese Muslim Xiaochao restaurant?
ask_restaurant_location,Can you give me directions to the Chinese Muslim Xiaochao restaurant?
ask_restaurant_location,What's the address of the Chinese Muslim Xiaochao restaurant?
ask_restaurant_location,Where is the Chinese Muslim Xiaochao restaurant located?
ask_restaurant_location,How do I get to Chinese Muslim Xiaochao restaurant?
ask_restaurant_location,What are the directions to reach Chinese Muslim Xiaochao restaurant?
ask_restaurant_location,Can you give me the address of Chinese Muslim Xiaochao restaurant?
ask_restaurant_location,Where is Muslim Xiaochao located?
ask_restaurant_location,How to get to Muslim Xiaochao restaurant?
ask_restaurant_location,Can you give me directions to Muslim Xiaochao?
ask_restaurant_location,What are the nearest landmarks to Muslim Xiaochao?
ask_restaurant_location,where is 中国穆斯林小炒 located?
ask_restaurant_location,how to get to china muslim spicy stir-fry restaurant?
ask_restaurant_location,can anyone tell me where china muslim spicy stir fry is?
ask_restaurant_location,what are the directions to china muslim muslim chinese food?
ask_restaurant_location,Where is Uni Hotpot located?
ask_restaurant_location,How to get to Uni Hotpot restaurant?
ask_restaurant_location,Can you give me directions to Uni Hotpot?
ask_restaurant_location,What are the nearby locations of Uni Hotpot?
ask_restaurant_location,Where is Uni Hotpot located?
ask_restaurant_location,Can you give me directions to Uni Hotpot?
ask_restaurant_location,How do I get to Uni Hotpot?
ask_restaurant_location,What's the address of Uni Hotpot?
ask_restaurant_location,Where is Uni Hot Pot located?
ask_restaurant_location,Can you tell me the address of Uni Hot Pot?
ask_restaurant_location,How do I get to Uni Hot Pot?
ask_restaurant_location,What are the directions to Uni Hot Pot?
ask_restaurant_location,What is the address of Have You Chili Pot?
ask_restaurant_location,How can I get to Have You Chili Pot restaurant?
ask_restaurant_location,Where is Have You Chili Pot located?
ask_restaurant_location,Can you tell me the location of Have You Chili Pot?
ask_restaurant_location,Where is ZUS Coffee located?
ask_restaurant_location,How do I get to ZUS Coffee?
ask_restaurant_location,Can you tell me the address of ZUS Coffee?
ask_restaurant_location,What are the directions to ZUS Coffee?
ask_restaurant_location,Where is Zus Coffee located?
ask_restaurant_location,Can you give me directions to Zus Coffee?
ask_restaurant_location,How do I get to Zus Coffee from here?
ask_restaurant_location,What is the address of Zus Coffee?
ask_restaurant_location,Where is ZUS located?
ask_restaurant_location,How can I find ZUS restaurant nearby?
ask_restaurant_location,What's the address of ZUS restaurant?
ask_restaurant_location,Can you tell me how to get to ZUS?
ask_restaurant_location,where is restaurant located?
ask_restaurant_location,what are the directions to restaurant?
ask_restaurant_location,how do i get to restaurant?
ask_restaurant_location,can you give me map to restaurant?
ask_restaurant_location,How do I get to Lakefront Cafe?
ask_restaurant_location,Where is Lakefront Cafe located?
ask_restaurant_location,Can you give me directions to Lakefront Cafe?
ask_restaurant_location,What's the address of Lakefront Cafe?
ask_restaurant_location,Where is Lakefront Cafe located?
ask_restaurant_location,How do I get to Lakefront Cafe?
ask_restaurant_location,Can you provide directions to Lakefront Cafe?
ask_restaurant_location,What are the nearest landmarks to Lakefront Cafe?
ask_restaurant_location,How do I get to Lakefront?
ask_restaurant_location,Where is Lakefront located?
ask_restaurant_location,Can you tell me how to find Lakefront restaurant?
ask_restaurant_location,What's the address of Lakefront?
ask_restaurant_location,where is Lake Front Cafe located?
ask_restaurant_location,how do I get to Lake Front Cafe?
ask_restaurant_location,can you direct me to Lake Front Cafe?
ask_restaurant_location,what are the directions to reach Lake Front Cafe?
ask_restaurant_location,Where is the nearest Cotti Coffee located?
ask_restaurant_location,How do I get to Cotti Coffee from here?
ask_restaurant_location,Can you give me directions to Cotti Coffee?
ask_restaurant_location,What's the address of Cotti Coffee?
ask_restaurant_location,where is COTTI COFFEE located?
ask_restaurant_location,how can i find COTTI COFFEE?
ask_restaurant_location,what are the directions to COTTI COFFEE?
ask_restaurant_location,can you show me where COTTI COFFEE is?
ask_restaurant_location,Where is Cotti located?
ask_restaurant_location,How do I get to Cotti restaurant?
ask_restaurant_location,Where is COTTI:RESTAURANT located?
ask_restaurant_location,Can you give me directions to COTTI:RESTAURANT?
ask_restaurant_location,How far is COTTI:RESTAURANT from my location?
ask_restaurant_location,What are the nearest public transport options to reach COTTI:RESTAURANT?
ask_restaurant_location,How do I get to Bo Ya Xuan Restaurant?
ask_restaurant_location,Where is Bo Ya Xuan Restaurant located?
ask_restaurant_location,Can you tell me the address of Bo Ya Xuan Restaurant?
ask_restaurant_location,What's the nearest landmark to Bo Ya Xuan Restaurant?
