,0
32,"[('What is the menu like at Kopitiam?', {'entities': [(25, 33, 'restaurant')]})]"
33,"[('Can I reserve a table at Kopitiam tonight?', {'entities': [(25, 33, 'restaurant')]})]"
34,"[('Is Kopitiam open for breakfast?', {'entities': [(3, 11, 'restaurant')]})]"
35,"[(""What is the opening time of Let's Kopi?"", {'entities': [(28, 38, 'restaurant')]})]"
36,"[(""I'm looking for a coffee shop, do you know where Let's Kopi is?"", {'entities': [(49, 59, 'restaurant')]})]"
37,"[(""Can I order food from Let's Kopi?"", {'entities': [(22, 32, 'restaurant')]})]"
38,"[('I want to try Mynews for breakfast', {'entities': [(14, 20, 'restaurant')]})]"
39,"[('Is the menu at Mynews still available?', {'entities': [(15, 21, 'restaurant')]})]"
40,"[('Can you recommend a dish from Mynews?', {'entities': [(30, 36, 'restaurant')]})]"
41,"[('Where is mynews located?', {'entities': [(9, 15, 'restaurant')]})]"
42,"[('What time does mynews open today?', {'entities': [(15, 21, 'restaurant')]})]"
43,"[('Is mynews open tomorrow?', {'entities': [(3, 9, 'restaurant')]})]"
44,"[('What is the address of My News?', {'entities': [(23, 30, 'restaurant')]})]"
45,"[('Where can I find My News in town?', {'entities': [(17, 24, 'restaurant')]})]"
46,"[('Can you tell me more about My News menu?', {'entities': [(27, 34, 'restaurant')]})]"
47,"[('What is the phone number of MyNews?', {'entities': [(28, 34, 'restaurant')]})]"
48,"[('I want to order from MyNews', {'entities': [(21, 27, 'restaurant')]})]"
49,"[('Where can I find MyNews', {'entities': [(17, 23, 'restaurant')]})]"
50,"[(""What's the opening hours of Takw Mee Tarik?"", {'entities': [(28, 42, 'restaurant')]})]"
51,"[('I love eating at Takw Mee Tarik.', {'entities': [(17, 31, 'restaurant')]})]"
52,"[('Can you order food from Takw Mee Tarik for me?', {'entities': [(24, 38, 'restaurant')]})]"
53,"[('Where can I find the best takw mee tarik in town?', {'entities': [(26, 40, 'restaurant')]})]"
54,"[(""I'm craving for some delicious takw mee tarik right now."", {'entities': [(31, 45, 'restaurant')]})]"
55,"[(""What's the opening time of Takw Mee Tarik today?"", {'entities': [(27, 41, 'restaurant')]})]"
56,"[(""I'd like a reservation at Tarik Mee for tonight"", {'entities': [(26, 35, 'restaurant')]})]"
57,"[('Where is the nearest location to Tarik Mee', {'entities': [(33, 42, 'restaurant')]})]"
58,"[('Does Tarik Mee offer takeout service', {'entities': [(5, 14, 'restaurant')]})]"
59,"[('What is the opening hours of Mee Tarik?', {'entities': [(29, 38, 'restaurant')]})]"
60,"[('I want to go to Mee Tarik for lunch', {'entities': [(16, 25, 'restaurant')]})]"
61,"[('How much does a meal cost at Mee Tarik?', {'entities': [(29, 38, 'restaurant')]})]"
62,"[('What is the address of Dajiawang?', {'entities': [(23, 32, 'restaurant')]})]"
63,"[('How far is Dajiawang from my dormitory?', {'entities': [(11, 20, 'restaurant')]})]"
64,"[('Is Dajiawang open for dinner tonight?', {'entities': [(3, 12, 'restaurant')]})]"
65,"[('I want to make a reservation at dajiawang', {'entities': [(32, 41, 'restaurant')]})]"
66,"[('Can you help me get the menu of dajiawang?', {'entities': [(32, 41, 'restaurant')]})]"
67,"[('Is dajiawang open for delivery today?', {'entities': [(3, 12, 'restaurant')]})]"
68,"[('Where is Da Jia Wang located?', {'entities': [(9, 20, 'restaurant')]})]"
69,"[('I want to eat at Da Jia Wang tonight', {'entities': [(17, 28, 'restaurant')]})]"
70,"[('What is the menu of Da Jia Wang like?', {'entities': [(20, 31, 'restaurant')]})]"
71,"[('What is the address of Shuzhiwei?', {'entities': [(23, 32, 'restaurant')]})]"
72,"[('Can I make a reservation at Shuzhiwei?', {'entities': [(28, 37, 'restaurant')]})]"
73,"[('Is Shuzhiwei open for breakfast?', {'entities': [(3, 12, 'restaurant')]})]"
74,"[('Does Shuzhiwei offer delivery?', {'entities': [(5, 14, 'restaurant')]})]"
75,"[(""I'd like to make a reservation at shuzhiwei."", {'entities': [(34, 43, 'restaurant')]})]"
76,"[('What is the menu of shuzhiwei?', {'entities': [(20, 29, 'restaurant')]})]"
77,"[('How far is shuzhiwei from my dorm?', {'entities': [(11, 20, 'restaurant')]})]"
78,"[(""What's the address of Shu Zhi Wei?"", {'entities': [(22, 33, 'restaurant')]})]"
79,"[('I want to reserve a table at Shu Zhi Wei.', {'entities': [(29, 40, 'restaurant')]})]"
80,"[('Is Shu Zhi Wei open for lunch today?', {'entities': [(3, 14, 'restaurant')]})]"
81,"[('Is Dachengxiaochu open now?', {'entities': [(3, 17, 'restaurant')]})]"
82,"[('What is the phone number of Dachengxiaochu?', {'entities': [(28, 42, 'restaurant')]})]"
83,"[('Can I make a reservation at Dachengxiaochu?', {'entities': [(28, 42, 'restaurant')]})]"
84,"[('Where is dachengxiaochu located?', {'entities': [(9, 23, 'restaurant')]})]"
85,"[('What time does dachengxiaochu open for dinner?', {'entities': [(15, 29, 'restaurant')]})]"
86,"[('How much does it cost to eat at dachengxiaochu?', {'entities': [(32, 46, 'restaurant')]})]"
87,"[('Where is Da Cheng Xiao Chu located?', {'entities': [(9, 26, 'restaurant')]})]"
88,"[('What time does Da Cheng Xiao Chu open?', {'entities': [(15, 32, 'restaurant')]})]"
89,"[('Can you recommend the dishes at Da Cheng Xiao Chu?', {'entities': [(32, 49, 'restaurant')]})]"
90,"[('What is the address of Hualianhaoliangcha?', {'entities': [(23, 41, 'restaurant')]})]"
91,"[('Is Hualianhaoliangcha a Michelin-starred restaurant?', {'entities': [(3, 21, 'restaurant')]})]"
92,"[('Can I order food from Hualianhaoliangcha online?', {'entities': [(22, 40, 'restaurant')]})]"
97,"[('Where is Hua Lian Hao Liang Cha located?', {'entities': [(9, 31, 'restaurant')]})]"
98,"[('What are the opening hours of Hua Lian Hao Liang Cha?', {'entities': [(30, 52, 'restaurant')]})]"
99,"[('Can I order from Hua Lian Hao Liang Cha online?', {'entities': [(17, 39, 'restaurant')]})]"
100,"[('How much does a meal at Hua Lian Hao Liang Cha cost?', {'entities': [(24, 46, 'restaurant')]})]"
101,"[('What time does Xiaoyunbingshi open?', {'entities': [(15, 29, 'restaurant')]})]"
102,"[('Can I make a reservation at Xiaoyunbingshi?', {'entities': [(28, 42, 'restaurant')]})]"
103,"[('Is Xiaoyunbingshi open on Sundays?', {'entities': [(3, 17, 'restaurant')]})]"
104,"[('Where is xiaoyunbingshi located?', {'entities': [(9, 23, 'restaurant')]})]"
105,"[('What time does xiaoyunbingshi open for lunch?', {'entities': [(15, 29, 'restaurant')]})]"
106,"[('Is xiaoyunbingshi a good place to eat?', {'entities': [(3, 17, 'restaurant')]})]"
107,"[('What is the address of Xiao Yun Bing Shi', {'entities': [(23, 40, 'restaurant')]})]"
108,"[('How much does it cost to dine at Xiao Yun Bing Shi?', {'entities': [(33, 50, 'restaurant')]})]"
109,"[('Is Xiao Yun Bing Shi open for lunch?', {'entities': [(3, 20, 'restaurant')]})]"
110,"[('Where is Dazhizhi located?', {'entities': [(9, 17, 'restaurant')]})]"
111,"[('Is Dazhizhi open now?', {'entities': [(3, 11, 'restaurant')]})]"
112,"[('What time does Dazhizhi close?', {'entities': [(15, 23, 'restaurant')]})]"
113,"[('What is the address of Dazhizhi?', {'entities': [(23, 31, 'restaurant')]})]"
114,"[('Where can I find Dazhizhi restaurant on campus?', {'entities': [(17, 25, 'restaurant')]})]"
115,"[('Is Dazhizhi open for lunch today?', {'entities': [(3, 11, 'restaurant')]})]"
116,"[(""I'm craving for some food from Dazhizhi"", {'entities': [(31, 39, 'restaurant')]})]"
117,"[('Where is Da Zhi Zhi located?', {'entities': [(9, 19, 'restaurant')]})]"
118,"[('Can I make a reservation at Da Zhi Zhi?', {'entities': [(28, 38, 'restaurant')]})]"
119,"[('Is Da Zhi Zhi open on weekends?', {'entities': [(3, 13, 'restaurant')]})]"
120,"[('Where is Miaomiaoqingshi located?', {'entities': [(9, 24, 'restaurant')]})]"
121,"[('What is the menu like at Miaomiaoqingshi?', {'entities': [(25, 40, 'restaurant')]})]"
122,"[('I want to reserve a table at Miaomiaoqingshi', {'entities': [(29, 44, 'restaurant')]})]"
123,"[('Can you give me directions to Miaomiaoqingshi', {'entities': [(30, 45, 'restaurant')]})]"
124,"[(""What's the address of miaomiaoqingshi?"", {'entities': [(22, 37, 'restaurant')]})]"
125,"[('Can I make a reservation at miaomiaoqingshi tomorrow?', {'entities': [(28, 43, 'restaurant')]})]"
126,"[('Is miaomiaoqingshi open on Sundays?', {'entities': [(3, 18, 'restaurant')]})]"
127,"[('Where is the nearest miaomiaoqingshi located?', {'entities': [(21, 36, 'restaurant')]})]"
128,"[('Where can I dine at Miao Miao Qing Shi?', {'entities': [(20, 38, 'restaurant')]})]"
129,"[('What is the menu like at Miao Miao Qing Shi', {'entities': [(25, 43, 'restaurant')]})]"
130,"[('Can you make a reservation for me at Miao Miao Qing Shi?', {'entities': [(37, 55, 'restaurant')]})]"
131,"[('What is the menu of Dawanmian?', {'entities': [(20, 29, 'restaurant')]})]"
132,"[('Where is Dawanmian located in Shanghai?', {'entities': [(9, 18, 'restaurant')]})]"
133,"[('Is Dawanmian open on Sundays?', {'entities': [(3, 12, 'restaurant')]})]"
134,"[('I want to try dawanmian for lunch today', {'entities': [(14, 23, 'restaurant')]})]"
135,"[('Is dawanmian open on weekends?', {'entities': [(3, 12, 'restaurant')]})]"
136,"[('Can you tell me the address of dawanmian?', {'entities': [(31, 40, 'restaurant')]})]"
137,"[('What are the hours for Da Wan Mian?', {'entities': [(23, 34, 'restaurant')]})]"
138,"[('I want to eat at Da Wan Mian tonight', {'entities': [(17, 28, 'restaurant')]})]"
139,"[('Where is Da Wan Mian located on campus', {'entities': [(9, 20, 'restaurant')]})]"
140,"[('Where is U&I located?', {'entities': [(9, 12, 'restaurant')]})]"
141,"[('Can I make a reservation at U&I?', {'entities': [(28, 31, 'restaurant')]})]"
142,"[('What are the business hours of U&I?', {'entities': [(31, 34, 'restaurant')]})]"
143,"[('What is the menu of u and i?', {'entities': [(20, 27, 'restaurant')]})]"
144,"[('I want to go to u and i for dinner tonight', {'entities': [(16, 23, 'restaurant')]})]"
145,"[(""What's the address of U and I?"", {'entities': [(22, 29, 'restaurant')]})]"
146,"[('Where is U and I located?', {'entities': [(9, 16, 'restaurant')]})]"
147,"[('Is U and I open today?', {'entities': [(3, 10, 'restaurant')]})]"
148,"[('What are the working hours of ui?', {'entities': [(30, 32, 'restaurant')]})]"
149,"[('Can I make a reservation at ui?', {'entities': [(28, 30, 'restaurant')]})]"
150,"[('Is ui open on weekends?', {'entities': [(3, 5, 'restaurant')]})]"
151,"[('What is the address of Xiaotaifeng restaurant?', {'entities': [(23, 34, 'restaurant')]})]"
152,"[('Is Xiaotaifeng a good place to eat?', {'entities': [(3, 14, 'restaurant')]})]"
153,"[('How much does it cost to dine at Xiaotaifeng?', {'entities': [(33, 44, 'restaurant')]})]"
154,"[('What is the address of xiaotaifeng?', {'entities': [(23, 34, 'restaurant')]})]"
155,"[('Can I book a table at xiaotaifeng for tonight?', {'entities': [(22, 33, 'restaurant')]})]"
156,"[('Is xiaotaifeng open on weekdays?', {'entities': [(3, 14, 'restaurant')]})]"
157,"[('Where is Xiao Tai Feng located?', {'entities': [(9, 22, 'restaurant')]})]"
158,"[('What time does Xiao Tai Feng open for dinner?', {'entities': [(15, 28, 'restaurant')]})]"
159,"[('Can I make a reservation at Xiao Tai Feng?', {'entities': [(28, 41, 'restaurant')]})]"
160,"[('What is the menu of Restaurant Kabaabish?', {'entities': [(20, 40, 'restaurant')]})]"
161,"[('How far is Restaurant Kabaabish from my dorm?', {'entities': [(11, 31, 'restaurant')]})]"
162,"[('I want to reserve a table at Restaurant Kabaabish', {'entities': [(29, 49, 'restaurant')]})]"
163,"[('Where is Restaurant Kabaabish located?', {'entities': [(9, 29, 'restaurant')]})]"
164,"[('Is the food at Restaurant Kabaabish good?', {'entities': [(15, 35, 'restaurant')]})]"
165,"[('Can you tell me about the specials at Restaurant Kabaabish?', {'entities': [(38, 58, 'restaurant')]})]"
166,"[('What is the address of Kabaabish?', {'entities': [(23, 32, 'restaurant')]})]"
167,"[('I want to make a reservation at Kabaabish.', {'entities': [(32, 41, 'restaurant')]})]"
168,"[('Is Kabaabish open on Sundays?', {'entities': [(3, 12, 'restaurant')]})]"
169,"[('Where is kabaabish located?', {'entities': [(9, 18, 'restaurant')]})]"
170,"[('Can I order food from kabaabish?', {'entities': [(22, 31, 'restaurant')]})]"
171,"[('What are the operating hours of kabaabish?', {'entities': [(32, 41, 'restaurant')]})]"
172,"[('What are the opening hours of Sapid?', {'entities': [(30, 35, 'restaurant')]})]"
173,"[('I want to book a table at Sapid.', {'entities': [(26, 31, 'restaurant')]})]"
174,"[('How do I contact Sapid?', {'entities': [(17, 22, 'restaurant')]})]"
175,"[('What is the address of sapid?', {'entities': [(23, 28, 'restaurant')]})]"
176,"[('Where is sapid located?', {'entities': [(9, 14, 'restaurant')]})]"
177,"[('Is sapid open on weekends?', {'entities': [(3, 8, 'restaurant')]})]"
178,"[('Where is SAPID located?', {'entities': [(9, 14, 'restaurant')]})]"
179,"[('What are the operating hours of SAPID', {'entities': [(32, 37, 'restaurant')]})]"
180,"[('Is SAPID open for take-out?', {'entities': [(3, 8, 'restaurant')]})]"
181,"[('Where is the Saffron Club located?', {'entities': [(13, 25, 'restaurant')]})]"
182,"[('What time does Saffron Club open for dinner?', {'entities': [(15, 27, 'restaurant')]})]"
183,"[('Can I book a table at Saffron Club?', {'entities': [(22, 34, 'restaurant')]})]"
184,"[('Is Saffron Club open on weekends?', {'entities': [(3, 15, 'restaurant')]})]"
185,"[('I want to book a table at Saffron Club tonight', {'entities': [(26, 38, 'restaurant')]})]"
186,"[('Where is the Saffron Club located on campus?', {'entities': [(13, 25, 'restaurant')]})]"
187,"[(""What's the menu like at Saffron Club?"", {'entities': [(24, 36, 'restaurant')]})]"
188,"[('What time does Saffron open?', {'entities': [(15, 22, 'restaurant')]})]"
189,"[('Can I book a table at Saffron for tonight?', {'entities': [(22, 29, 'restaurant')]})]"
190,"[('Is Saffron open on Sundays?', {'entities': [(3, 10, 'restaurant')]})]"
191,"[('Where can I find a good restaurant serving saffron?', {'entities': [(43, 50, 'restaurant')]})]"
192,"[(""I'm looking for a place that serves saffron."", {'entities': [(36, 43, 'restaurant')]})]"
193,"[('Can you recommend a restaurant near me that has saffron on the menu?', {'entities': [(48, 55, 'restaurant')]})]"
194,"[('Where can I find Poke Bowl Rice for lunch?', {'entities': [(17, 31, 'restaurant')]})]"
195,"[('Is Poke Bowl Rice open on weekends?', {'entities': [(3, 17, 'restaurant')]})]"
196,"[('What is the address of Poke Bowl Rice?', {'entities': [(23, 37, 'restaurant')]})]"
197,"[('Where can I find poke bowl rice near me?', {'entities': [(17, 31, 'restaurant')]})]"
198,"[(""What's the best place for poke bowl rice in town?"", {'entities': [(26, 40, 'restaurant')]})]"
199,"[('Can you recommend a restaurant that serves poke bowl rice?', {'entities': [(43, 57, 'restaurant')]})]"
200,"[('What is the menu at Poke Bowl?', {'entities': [(20, 29, 'restaurant')]})]"
201,"[('I want to try Poke Bowl tonight.', {'entities': [(14, 23, 'restaurant')]})]"
202,"[('Where is Poke Bowl located?', {'entities': [(9, 18, 'restaurant')]})]"
203,"[('What are the ingredients of poke bowl?', {'entities': [(28, 37, 'restaurant')]})]"
204,"[('Where can I order poke bowl near me?', {'entities': [(18, 27, 'restaurant')]})]"
205,"[('Can you recommend a good poke bowl place nearby?', {'entities': [(25, 34, 'restaurant')]})]"
206,"[('Is poke bowl available for delivery today?', {'entities': [(3, 12, 'restaurant')]})]"
207,"[('What are the opening hours of Zone U Bakery?', {'entities': [(30, 43, 'restaurant')]})]"
208,"[('Where is Zone U Bakery located on campus?', {'entities': [(9, 22, 'restaurant')]})]"
209,"[('Can I order cake from Zone U Bakery?', {'entities': [(22, 35, 'restaurant')]})]"
210,"[('Is Zone U Bakery open for breakfast?', {'entities': [(3, 16, 'restaurant')]})]"
211,"[('What is the menu at Zone U Bakery?', {'entities': [(20, 33, 'restaurant')]})]"
212,"[('Where can I buy a cake from Zone U Bakery?', {'entities': [(28, 41, 'restaurant')]})]"
213,"[('Where is Zone U located?', {'entities': [(9, 15, 'restaurant')]})]"
214,"[('What are the operating hours of Zone U', {'entities': [(32, 38, 'restaurant')]})]"
215,"[('Can I make a reservation at Zone U?', {'entities': [(28, 34, 'restaurant')]})]"
216,"[('Where is ZoneU Bakery located on campus?', {'entities': [(9, 21, 'restaurant')]})]"
217,"[('Can I order from ZoneU Bakery online?', {'entities': [(17, 29, 'restaurant')]})]"
218,"[('What are the business hours of ZoneU Bakery?', {'entities': [(31, 43, 'restaurant')]})]"
219,"[('What are the opening hours of Zhongminmeishi?', {'entities': [(30, 44, 'restaurant')]})]"
220,"[('How do I make a reservation at Zhongminmeishi tonight?', {'entities': [(31, 45, 'restaurant')]})]"
221,"[('Can you give me directions to Zhongminmeishi from campus?', {'entities': [(30, 44, 'restaurant')]})]"
222,"[('Where is zhongminmeishi located?', {'entities': [(9, 23, 'restaurant')]})]"
223,"[(""What's the price range of zhongminmeishi?"", {'entities': [(26, 40, 'restaurant')]})]"
224,"[('How can I order food from zhongminmeishi?', {'entities': [(26, 40, 'restaurant')]})]"
225,"[('What are the opening hours of Zhong Min Mei Shi?', {'entities': [(30, 47, 'restaurant')]})]"
226,"[('Where can I find Zhong Min Mei Shi on campus?', {'entities': [(17, 34, 'restaurant')]})]"
227,"[('Does Zhong Min Mei Shi have a menu with vegetarian options?', {'entities': [(5, 22, 'restaurant')]})]"
228,"[(""What are the hours for Bean's Express?"", {'entities': [(23, 37, 'restaurant')]})]"
229,"[(""Where is Bean's Express located on campus?"", {'entities': [(9, 23, 'restaurant')]})]"
230,"[(""Can I reserve a table at Bean's Express?"", {'entities': [(25, 39, 'restaurant')]})]"
231,"[('What is the opening time of Beans Express?', {'entities': [(28, 41, 'restaurant')]})]"
232,"[('How far is Beans Express from my hotel?', {'entities': [(11, 24, 'restaurant')]})]"
233,"[('Can you tell me more about the menu at Beans Express?', {'entities': [(39, 52, 'restaurant')]})]"
234,"[('Where is Beans Express located?', {'entities': [(9, 22, 'restaurant')]})]"
235,"[('Can I order food from Beans Express?', {'entities': [(22, 35, 'restaurant')]})]"
236,"[('Is Beans Express open now?', {'entities': [(3, 16, 'restaurant')]})]"
237,"[('What are the operating hours of Bean Express?', {'entities': [(32, 44, 'restaurant')]})]"
238,"[('Is Bean Express open on Sundays?', {'entities': [(3, 15, 'restaurant')]})]"
239,"[(""I want to order from Bean Express but they don't have my favorite item."", {'entities': [(21, 33, 'restaurant')]})]"
240,"[('Where is Mad Plate Express located?', {'entities': [(9, 26, 'restaurant')]})]"
241,"[('Is Mad Plate Express open now?', {'entities': [(3, 20, 'restaurant')]})]"
242,"[('Can I book a table at Mad Plate Express?', {'entities': [(22, 39, 'restaurant')]})]"
243,"[('What is the opening time of Mad Plate Express?', {'entities': [(28, 45, 'restaurant')]})]"
244,"[('Where is the nearest location of Mad Plate Express', {'entities': [(33, 50, 'restaurant')]})]"
245,"[('Can I order food from Mad Plate Express?', {'entities': [(22, 39, 'restaurant')]})]"
246,"[('Is Mad Plate Express open today?', {'entities': [(3, 20, 'restaurant')]})]"
247,"[('Where is Mad Plate located?', {'entities': [(9, 18, 'restaurant')]})]"
248,"[('What time does Mad Plate serve dinner?', {'entities': [(15, 24, 'restaurant')]})]"
249,"[('Can you order from Mad Plate online?', {'entities': [(19, 28, 'restaurant')]})]"
250,"[('What are the operating hours of MadPlate Express?', {'entities': [(32, 48, 'restaurant')]})]"
251,"[('How do I order food from MadPlate Express online?', {'entities': [(25, 41, 'restaurant')]})]"
252,"[('Is there a discount on food at MadPlate Express?', {'entities': [(31, 47, 'restaurant')]})]"
253,"[('What time does Xiaojiuzhou open?', {'entities': [(15, 26, 'restaurant')]})]"
254,"[('Can I make a reservation at Xiaojiuzhou?', {'entities': [(28, 39, 'restaurant')]})]"
255,"[('Is Xiaojiuzhou close today?', {'entities': [(3, 14, 'restaurant')]})]"
256,"[('I want to order food from xiaojiuzhou', {'entities': [(26, 37, 'restaurant')]})]"
257,"[('Can I book a table at xiaojiuzhou?', {'entities': [(22, 33, 'restaurant')]})]"
258,"[('What are the operating hours of xiaojiuzhou?', {'entities': [(32, 43, 'restaurant')]})]"
259,"[('Where is Xiao Jiu Zhou located?', {'entities': [(9, 22, 'restaurant')]})]"
260,"[('What are the operating hours of Xiao Jiu Zhou?', {'entities': [(32, 45, 'restaurant')]})]"
261,"[('Can I make a reservation at Xiao Jiu Zhou?', {'entities': [(28, 41, 'restaurant')]})]"
262,"[(""What's the menu at Shanyicheng"", {'entities': [(19, 30, 'restaurant')]})]"
263,"[('Where is Shanyicheng located', {'entities': [(9, 20, 'restaurant')]})]"
264,"[('Can I make a reservation at Shanyicheng', {'entities': [(28, 39, 'restaurant')]})]"
265,"[('How much does it cost to dine at Shanyicheng', {'entities': [(33, 44, 'restaurant')]})]"
269,"[('What is the menu like at Shan Yi Cheng?', {'entities': [(25, 38, 'restaurant')]})]"
270,"[('I want to reserve a table for dinner at Shan Yi Cheng', {'entities': [(40, 53, 'restaurant')]})]"
271,"[('Is Shan Yi Cheng open on Sunday?', {'entities': [(3, 16, 'restaurant')]})]"
272,"[('Where is Penangfengwei located?', {'entities': [(9, 22, 'restaurant')]})]"
273,"[(""What's the address of Penangfengwei?"", {'entities': [(22, 35, 'restaurant')]})]"
274,"[('Is Penangfengwei open for dinner?', {'entities': [(3, 16, 'restaurant')]})]"
275,"[('What is the contact number of Penang Feng Wei?', {'entities': [(30, 45, 'restaurant')]})]"
276,"[('Where can I order food from Penang Feng Wei?', {'entities': [(28, 43, 'restaurant')]})]"
277,"[('Is there a new branch of Penang Feng Wei near my house?', {'entities': [(25, 40, 'restaurant')]})]"
278,"[('What are the opening hours of Penang Feng Wei', {'entities': [(30, 45, 'restaurant')]})]"
279,"[('Is Penang Feng Wei a good restaurant', {'entities': [(3, 18, 'restaurant')]})]"
280,"[('Can I book a table at Penang Feng Wei', {'entities': [(22, 37, 'restaurant')]})]"
281,"[('Where is the best location to have dinner at Jiaweishixuan?', {'entities': [(45, 58, 'restaurant')]})]"
282,"[('Can I make a reservation at Jiaweishixuan for tonight?', {'entities': [(28, 41, 'restaurant')]})]"
283,"[('Is Jiaweishixuan open on weekends?', {'entities': [(3, 16, 'restaurant')]})]"
284,"[('I want to eat at jiaweishixuan tonight', {'entities': [(17, 30, 'restaurant')]})]"
285,"[('What is the menu of jiaweishixuan?', {'entities': [(20, 33, 'restaurant')]})]"
286,"[('Can I make a reservation at jiaweishixuan?', {'entities': [(28, 41, 'restaurant')]})]"
287,"[('Where is Jia Wei Shi Xuan located?', {'entities': [(9, 25, 'restaurant')]})]"
288,"[('I want to try the food at Jia Wei Shi Xuan.', {'entities': [(26, 42, 'restaurant')]})]"
289,"[('What are the opening hours of Jia Wei Shi Xuan?', {'entities': [(30, 46, 'restaurant')]})]"
290,"[('Where is Chinese Muslim Xiaochao located?', {'entities': [(9, 32, 'restaurant')]})]"
291,"[('What are the reviews for Chinese Muslim Xiaochao?', {'entities': [(25, 48, 'restaurant')]})]"
292,"[('Is Chinese Muslim Xiaochao open on weekends?', {'entities': [(3, 26, 'restaurant')]})]"
293,"[('Can I order delivery from Chinese Muslim Xiaochao?', {'entities': [(26, 49, 'restaurant')]})]"
294,"[('What is the address of Chinese Muslim Xiaochao?', {'entities': [(23, 46, 'restaurant')]})]"
295,"[('Where can I find Chinese Muslim Xiaochao restaurant?', {'entities': [(17, 40, 'restaurant')]})]"
296,"[('Can you provide more information about the menu at Chinese Muslim Xiaochao?', {'entities': [(51, 74, 'restaurant')]})]"
297,"[('How do I make a reservation at Chinese Muslim Xiaochao?', {'entities': [(31, 54, 'restaurant')]})]"
298,"[('What is the delivery time for Muslim Xiaochao?', {'entities': [(30, 45, 'restaurant')]})]"
299,"[('Where is Muslim Xiaochao located?', {'entities': [(9, 24, 'restaurant')]})]"
300,"[(""I'm craving Muslim Xiaochao's special dishes."", {'entities': [(12, 27, 'restaurant')]})]"
301,"[('Can I order from Muslim Xiaochao online?', {'entities': [(17, 32, 'restaurant')]})]"
302,"[('Where is Uni Hotpot located?', {'entities': [(9, 19, 'restaurant')]})]"
303,"[('What time does Uni Hotpot serve dinner?', {'entities': [(15, 25, 'restaurant')]})]"
304,"[('How much does a meal at Uni Hotpot cost?', {'entities': [(24, 34, 'restaurant')]})]"
305,"[('Where can I find uni hotpot near my dorm?', {'entities': [(17, 27, 'restaurant')]})]"
306,"[('Is uni hotpot open for dinner tonight?', {'entities': [(3, 13, 'restaurant')]})]"
307,"[('How much does a meal cost at uni hotpot?', {'entities': [(29, 39, 'restaurant')]})]"
