query,entity_text,entity_label,index
What is the opening time of Let's Kopi?,Let's Kopi,restaurant,35
"I'm looking for a coffee shop, do you know where Let's Kopi is?",Let's Kopi,restaurant,36
Can I order food from Let's Kopi?,Let's Kopi,restaurant,37
I want to try Mynews for breakfast,Mynews,restaurant,38
Is the menu at Mynews still available?,Mynews,restaurant,39
Can you recommend a dish from Mynews?,Mynews,restaurant,40
Where is mynews located?,mynews,restaurant,41
What time does mynews open today?,mynews,restaurant,42
Is mynews open tomorrow?,mynews,restaurant,43
What is the address of My News?,My News,restaurant,44
Where can I find My News in town?,My News,restaurant,45
Can you tell me more about My News menu?,My News,restaurant,46
What is the phone number of MyNews?,MyNews,restaurant,47
I want to order from MyNews,MyNews,restaurant,48
Where can I find MyNews,MyNews,restaurant,49
What's the opening hours of Takw Mee Tarik?,Takw Mee Tarik,restaurant,50
I love eating at Takw Mee Tarik.,Takw Mee Tarik,restaurant,51
Can you order food from Takw Mee Tarik for me?,Takw Mee Tarik,restaurant,52
Where can I find the best takw mee tarik in town?,takw mee tarik,restaurant,53
I'm craving for some delicious takw mee tarik right now.,takw mee tarik,restaurant,54
What's the opening time of Takw Mee Tarik today?,takw mee tarik,restaurant,55
I'd like a reservation at Tarik Mee for tonight,Tarik Mee,restaurant,56
Where is the nearest location to Tarik Mee,Tarik Mee,restaurant,57
Does Tarik Mee offer takeout service,Tarik Mee,restaurant,58
What is the opening hours of Mee Tarik?,Mee Tarik,restaurant,59
I want to go to Mee Tarik for lunch,Mee Tarik,restaurant,60
How much does a meal cost at Mee Tarik?,Mee Tarik,restaurant,61
What is the address of Dajiawang?,Dajiawang,restaurant,62
How far is Dajiawang from my dormitory?,Dajiawang,restaurant,63
Is Dajiawang open for dinner tonight?,Dajiawang,restaurant,64
I want to make a reservation at dajiawang,dajiawang,restaurant,65
Can you help me get the menu of dajiawang?,dajiawang,restaurant,66
Is dajiawang open for delivery today?,dajiawang,restaurant,67
Where is Da Jia Wang located?,Da Jia Wang,restaurant,68
I want to eat at Da Jia Wang tonight,Da Jia Wang,restaurant,69
What is the menu of Da Jia Wang like?,Da Jia Wang,restaurant,70
What is the address of Shuzhiwei?,Shuzhiwei,restaurant,71
Can I make a reservation at Shuzhiwei?,Shuzhiwei,restaurant,72
Is Shuzhiwei open for breakfast?,Shuzhiwei,restaurant,73
Does Shuzhiwei offer delivery?,Shuzhiwei,restaurant,74
I'd like to make a reservation at shuzhiwei.,shuzhiwei,restaurant,75
What is the menu of shuzhiwei?,shuzhiwei,restaurant,76
How far is shuzhiwei from my dorm?,shuzhiwei,restaurant,77
What's the address of Shu Zhi Wei?,Shu Zhi Wei,restaurant,78
I want to reserve a table at Shu Zhi Wei.,Shu Zhi Wei,restaurant,79
Is Shu Zhi Wei open for lunch today?,Shu Zhi Wei,restaurant,80
Is Dachengxiaochu open now?,Dachengxiaochu,restaurant,81
What is the phone number of Dachengxiaochu?,Dachengxiaochu,restaurant,82
Can I make a reservation at Dachengxiaochu?,Dachengxiaochu,restaurant,83
Where is dachengxiaochu located?,dachengxiaochu,restaurant,84
What time does dachengxiaochu open for dinner?,dachengxiaochu,restaurant,85
How much does it cost to eat at dachengxiaochu?,dachengxiaochu,restaurant,86
Where is Da Cheng Xiao Chu located?,Da Cheng Xiao Chu,restaurant,87
What time does Da Cheng Xiao Chu open?,Da Cheng Xiao Chu,restaurant,88
Can you recommend the dishes at Da Cheng Xiao Chu?,Da Cheng Xiao Chu,restaurant,89
What is the address of Hualianhaoliangcha?,Hualianhaoliangcha,restaurant,90
Is Hualianhaoliangcha a Michelin-starred restaurant?,Hualianhaoliangcha,restaurant,91
Can I order food from Hualianhaoliangcha online?,Hualianhaoliangcha,restaurant,92
What is the phone number of Hualian Haoliangcha?,hualianhaoliangcha,restaurant,93
Where can I find Hualian Haoliangcha in Shenzhen?,hualianhaoliangcha,restaurant,94
Is Hualian Haoliangcha open on Sunday?,hualianhaoliangcha,restaurant,95
How much does a meal cost at Hualian Haoliangcha?,hualianhaoliangcha,restaurant,96
Where is Hua Lian Hao Liang Cha located?,Hua Lian Hao Liang Cha,restaurant,97
What are the opening hours of Hua Lian Hao Liang Cha?,Hua Lian Hao Liang Cha,restaurant,98
Can I order from Hua Lian Hao Liang Cha online?,Hua Lian Hao Liang Cha,restaurant,99
How much does a meal at Hua Lian Hao Liang Cha cost?,Hua Lian Hao Liang Cha,restaurant,100
What time does Xiaoyunbingshi open?,Xiaoyunbingshi,restaurant,101
Can I make a reservation at Xiaoyunbingshi?,Xiaoyunbingshi,restaurant,102
Is Xiaoyunbingshi open on Sundays?,Xiaoyunbingshi,restaurant,103
Where is xiaoyunbingshi located?,xiaoyunbingshi,restaurant,104
What time does xiaoyunbingshi open for lunch?,xiaoyunbingshi,restaurant,105
Is xiaoyunbingshi a good place to eat?,xiaoyunbingshi,restaurant,106
What is the address of Xiao Yun Bing Shi,Xiao Yun Bing Shi,restaurant,107
How much does it cost to dine at Xiao Yun Bing Shi?,Xiao Yun Bing Shi,restaurant,108
Is Xiao Yun Bing Shi open for lunch?,Xiao Yun Bing Shi,restaurant,109
Where is Dazhizhi located?,Dazhizhi,restaurant,110
Is Dazhizhi open now?,Dazhizhi,restaurant,111
What time does Dazhizhi close?,Dazhizhi,restaurant,112
What is the address of Dazhizhi?,dazhizhi,restaurant,113
Where can I find Dazhizhi restaurant on campus?,dazhizhi,restaurant,114
Is Dazhizhi open for lunch today?,dazhizhi,restaurant,115
I'm craving for some food from Dazhizhi,dazhizhi,restaurant,116
Where is Da Zhi Zhi located?,Da Zhi Zhi,restaurant,117
Can I make a reservation at Da Zhi Zhi?,Da Zhi Zhi,restaurant,118
Is Da Zhi Zhi open on weekends?,Da Zhi Zhi,restaurant,119
Where is Miaomiaoqingshi located?,Miaomiaoqingshi,restaurant,120
What is the menu like at Miaomiaoqingshi?,Miaomiaoqingshi,restaurant,121
I want to reserve a table at Miaomiaoqingshi,Miaomiaoqingshi,restaurant,122
Can you give me directions to Miaomiaoqingshi,Miaomiaoqingshi,restaurant,123
What's the address of miaomiaoqingshi?,miaomiaoqingshi,restaurant,124
Can I make a reservation at miaomiaoqingshi tomorrow?,miaomiaoqingshi,restaurant,125
Is miaomiaoqingshi open on Sundays?,miaomiaoqingshi,restaurant,126
Where is the nearest miaomiaoqingshi located?,miaomiaoqingshi,restaurant,127
Where can I dine at Miao Miao Qing Shi?,Miao Miao Qing Shi,restaurant,128
What is the menu like at Miao Miao Qing Shi,Miao Miao Qing Shi,restaurant,129
Can you make a reservation for me at Miao Miao Qing Shi?,Miao Miao Qing Shi,restaurant,130
What is the menu of Dawanmian?,Dawanmian,restaurant,131
Where is Dawanmian located in Shanghai?,Dawanmian,restaurant,132
Is Dawanmian open on Sundays?,Dawanmian,restaurant,133
I want to try dawanmian for lunch today,dawanmian,restaurant,134
Is dawanmian open on weekends?,dawanmian,restaurant,135
Can you tell me the address of dawanmian?,dawanmian,restaurant,136
What are the hours for Da Wan Mian?,Da Wan Mian,restaurant,137
I want to eat at Da Wan Mian tonight,Da Wan Mian,restaurant,138
Where is Da Wan Mian located on campus,Da Wan Mian,restaurant,139
Where is U&I located?,U&I,restaurant,140
Can I make a reservation at U&I?,U&I,restaurant,141
What are the business hours of U&I?,U&I,restaurant,142
What is the menu of u and i?,u and i,restaurant,143
I want to go to u and i for dinner tonight,u and i,restaurant,144
What's the address of U and I?,U and I,restaurant,145
Where is U and I located?,U and I,restaurant,146
Is U and I open today?,U and I,restaurant,147
What are the working hours of ui?,ui,restaurant,148
Can I make a reservation at ui?,ui,restaurant,149
Is ui open on weekends?,ui,restaurant,150
What is the address of Xiaotaifeng restaurant?,Xiaotaifeng,restaurant,151
Is Xiaotaifeng a good place to eat?,Xiaotaifeng,restaurant,152
How much does it cost to dine at Xiaotaifeng?,Xiaotaifeng,restaurant,153
What is the address of xiaotaifeng?,xiaotaifeng,restaurant,154
Can I book a table at xiaotaifeng for tonight?,xiaotaifeng,restaurant,155
Is xiaotaifeng open on weekdays?,xiaotaifeng,restaurant,156
Where is Xiao Tai Feng located?,Xiao Tai Feng,restaurant,157
What time does Xiao Tai Feng open for dinner?,Xiao Tai Feng,restaurant,158
Can I make a reservation at Xiao Tai Feng?,Xiao Tai Feng,restaurant,159
What is the menu of Restaurant Kabaabish?,Restaurant Kabaabish,restaurant,160
How far is Restaurant Kabaabish from my dorm?,Restaurant Kabaabish,restaurant,161
I want to reserve a table at Restaurant Kabaabish,Restaurant Kabaabish,restaurant,162
Where is Restaurant Kabaabish located?,Restaurant Kabaabish,restaurant,163
Is the food at Restaurant Kabaabish good?,Restaurant Kabaabish,restaurant,164
Can you tell me about the specials at Restaurant Kabaabish?,Restaurant Kabaabish,restaurant,165
What is the address of Kabaabish?,Kabaabish,restaurant,166
I want to make a reservation at Kabaabish.,Kabaabish,restaurant,167
Is Kabaabish open on Sundays?,Kabaabish,restaurant,168
Where is kabaabish located?,kabaabish,restaurant,169
Can I order food from kabaabish?,kabaabish,restaurant,170
What are the operating hours of kabaabish?,kabaabish,restaurant,171
What are the opening hours of Sapid?,Sapid,restaurant,172
I want to book a table at Sapid.,Sapid,restaurant,173
How do I contact Sapid?,Sapid,restaurant,174
What is the address of sapid?,sapid,restaurant,175
Where is sapid located?,sapid,restaurant,176
Is sapid open on weekends?,sapid,restaurant,177
Where is SAPID located?,SAPID,restaurant,178
What are the operating hours of SAPID,SAPID,restaurant,179
Is SAPID open for take-out?,SAPID,restaurant,180
Where is the Saffron Club located?,Saffron Club,restaurant,181
What time does Saffron Club open for dinner?,Saffron Club,restaurant,182
Can I book a table at Saffron Club?,Saffron Club,restaurant,183
Is Saffron Club open on weekends?,Saffron Club,restaurant,184
I want to book a table at Saffron Club tonight,Saffron Club,restaurant,185
Where is the Saffron Club located on campus?,Saffron Club,restaurant,186
What's the menu like at Saffron Club?,Saffron Club,restaurant,187
What time does Saffron open?,Saffron,restaurant,188
Can I book a table at Saffron for tonight?,Saffron,restaurant,189
Is Saffron open on Sundays?,Saffron,restaurant,190
Where can I find a good restaurant serving saffron?,saffron,restaurant,191
I'm looking for a place that serves saffron.,saffron,restaurant,192
Can you recommend a restaurant near me that has saffron on the menu?,saffron,restaurant,193
Where can I find Poke Bowl Rice for lunch?,Poke Bowl Rice,restaurant,194
Is Poke Bowl Rice open on weekends?,Poke Bowl Rice,restaurant,195
What is the address of Poke Bowl Rice?,Poke Bowl Rice,restaurant,196
Where can I find poke bowl rice near me?,poke bowl rice,restaurant,197
What's the best place for poke bowl rice in town?,poke bowl rice,restaurant,198
Can you recommend a restaurant that serves poke bowl rice?,poke bowl rice,restaurant,199
What is the menu at Poke Bowl?,Poke Bowl,restaurant,200
I want to try Poke Bowl tonight.,Poke Bowl,restaurant,201
Where is Poke Bowl located?,Poke Bowl,restaurant,202
What are the ingredients of poke bowl?,poke bowl,restaurant,203
Where can I order poke bowl near me?,poke bowl,restaurant,204
Can you recommend a good poke bowl place nearby?,poke bowl,restaurant,205
Is poke bowl available for delivery today?,poke bowl,restaurant,206
What are the opening hours of Zone U Bakery?,Zone U Bakery,restaurant,207
Where is Zone U Bakery located on campus?,Zone U Bakery,restaurant,208
Can I order cake from Zone U Bakery?,Zone U Bakery,restaurant,209
Is Zone U Bakery open for breakfast?,Zone U Bakery,restaurant,210
What is the menu at Zone U Bakery?,Zone U Bakery,restaurant,211
Where can I buy a cake from Zone U Bakery?,Zone U Bakery,restaurant,212
Where is Zone U located?,Zone U,restaurant,213
What are the operating hours of Zone U,Zone U,restaurant,214
Can I make a reservation at Zone U?,Zone U,restaurant,215
Where is ZoneU Bakery located on campus?,ZoneU Bakery,restaurant,216
Can I order from ZoneU Bakery online?,ZoneU Bakery,restaurant,217
What are the business hours of ZoneU Bakery?,ZoneU Bakery,restaurant,218
What are the opening hours of Zhongminmeishi?,Zhongminmeishi,restaurant,219
How do I make a reservation at Zhongminmeishi tonight?,Zhongminmeishi,restaurant,220
Can you give me directions to Zhongminmeishi from campus?,Zhongminmeishi,restaurant,221
Where is zhongminmeishi located?,zhongminmeishi,restaurant,222
What's the price range of zhongminmeishi?,zhongminmeishi,restaurant,223
How can I order food from zhongminmeishi?,zhongminmeishi,restaurant,224
What are the opening hours of Zhong Min Mei Shi?,Zhong Min Mei Shi,restaurant,225
Where can I find Zhong Min Mei Shi on campus?,Zhong Min Mei Shi,restaurant,226
Does Zhong Min Mei Shi have a menu with vegetarian options?,Zhong Min Mei Shi,restaurant,227
What are the hours for Bean's Express?,Bean's Express,restaurant,228
Where is Bean's Express located on campus?,Bean's Express,restaurant,229
Can I reserve a table at Bean's Express?,Bean's Express,restaurant,230
What is the opening time of Beans Express?,Beans Express,restaurant,231
How far is Beans Express from my hotel?,Beans Express,restaurant,232
Can you tell me more about the menu at Beans Express?,Beans Express,restaurant,233
Where is Beans Express located?,Beans Express,restaurant,234
Can I order food from Beans Express?,Beans Express,restaurant,235
Is Beans Express open now?,Beans Express,restaurant,236
What are the operating hours of Bean Express?,Bean Express,restaurant,237
Is Bean Express open on Sundays?,Bean Express,restaurant,238
I want to order from Bean Express but they don't have my favorite item.,Bean Express,restaurant,239
Where is Mad Plate Express located?,Mad Plate Express,restaurant,240
Is Mad Plate Express open now?,Mad Plate Express,restaurant,241
Can I book a table at Mad Plate Express?,Mad Plate Express,restaurant,242
What is the opening time of Mad Plate Express?,mad plate express,restaurant,243
Where is the nearest location of Mad Plate Express,mad plate express,restaurant,244
Can I order food from Mad Plate Express?,mad plate express,restaurant,245
Is Mad Plate Express open today?,mad plate express,restaurant,246
Where is Mad Plate located?,Mad Plate,restaurant,247
What time does Mad Plate serve dinner?,Mad Plate,restaurant,248
Can you order from Mad Plate online?,Mad Plate,restaurant,249
What are the operating hours of MadPlate Express?,MadPlate Express,restaurant,250
How do I order food from MadPlate Express online?,MadPlate Express,restaurant,251
Is there a discount on food at MadPlate Express?,MadPlate Express,restaurant,252
What time does Xiaojiuzhou open?,Xiaojiuzhou,restaurant,253
Can I make a reservation at Xiaojiuzhou?,Xiaojiuzhou,restaurant,254
Is Xiaojiuzhou close today?,Xiaojiuzhou,restaurant,255
I want to order food from xiaojiuzhou,xiaojiuzhou,restaurant,256
Can I book a table at xiaojiuzhou?,xiaojiuzhou,restaurant,257
What are the operating hours of xiaojiuzhou?,xiaojiuzhou,restaurant,258
Where is Xiao Jiu Zhou located?,Xiao Jiu Zhou,restaurant,259
What are the operating hours of Xiao Jiu Zhou?,Xiao Jiu Zhou,restaurant,260
Can I make a reservation at Xiao Jiu Zhou?,Xiao Jiu Zhou,restaurant,261
What's the menu at Shanyicheng,Shanyicheng,restaurant,262
Where is Shanyicheng located,Shanyicheng,restaurant,263
Can I make a reservation at Shanyicheng,Shanyicheng,restaurant,264
How much does it cost to dine at Shanyicheng,Shanyicheng,restaurant,265
What is the address of Shanyi Cheng?,shanyicheng,restaurant,266
Where can I find Shanyi Cheng for dinner?,shanyicheng,restaurant,267
Is Shanyi Cheng a good place for a family meal?,shanyicheng,restaurant,268
What is the menu like at Shan Yi Cheng?,Shan Yi Cheng,restaurant,269
I want to reserve a table for dinner at Shan Yi Cheng,Shan Yi Cheng,restaurant,270
Is Shan Yi Cheng open on Sunday?,Shan Yi Cheng,restaurant,271
Where is Penangfengwei located?,Penangfengwei,restaurant,272
What's the address of Penangfengwei?,Penangfengwei,restaurant,273
Is Penangfengwei open for dinner?,Penangfengwei,restaurant,274
What is the contact number of Penang Feng Wei?,Penang Feng Wei,restaurant,275
Where can I order food from Penang Feng Wei?,Penang Feng Wei,restaurant,276
Is there a new branch of Penang Feng Wei near my house?,Penang Feng Wei,restaurant,277
What are the opening hours of Penang Feng Wei,Penang Feng Wei,restaurant,278
Is Penang Feng Wei a good restaurant,Penang Feng Wei,restaurant,279
Can I book a table at Penang Feng Wei,Penang Feng Wei,restaurant,280
Where is the best location to have dinner at Jiaweishixuan?,Jiaweishixuan,restaurant,281
Can I make a reservation at Jiaweishixuan for tonight?,Jiaweishixuan,restaurant,282
Is Jiaweishixuan open on weekends?,Jiaweishixuan,restaurant,283
I want to eat at jiaweishixuan tonight,jiaweishixuan,restaurant,284
What is the menu of jiaweishixuan?,jiaweishixuan,restaurant,285
Can I make a reservation at jiaweishixuan?,jiaweishixuan,restaurant,286
Where is Jia Wei Shi Xuan located?,Jia Wei Shi Xuan,restaurant,287
I want to try the food at Jia Wei Shi Xuan.,Jia Wei Shi Xuan,restaurant,288
What are the opening hours of Jia Wei Shi Xuan?,Jia Wei Shi Xuan,restaurant,289
Where is Chinese Muslim Xiaochao located?,Chinese Muslim Xiaochao,restaurant,290
What are the reviews for Chinese Muslim Xiaochao?,Chinese Muslim Xiaochao,restaurant,291
Is Chinese Muslim Xiaochao open on weekends?,Chinese Muslim Xiaochao,restaurant,292
Can I order delivery from Chinese Muslim Xiaochao?,Chinese Muslim Xiaochao,restaurant,293
What is the address of Chinese Muslim Xiaochao?,Chinese Muslim Xiaochao,restaurant,294
Where can I find Chinese Muslim Xiaochao restaurant?,Chinese Muslim Xiaochao,restaurant,295
Can you provide more information about the menu at Chinese Muslim Xiaochao?,Chinese Muslim Xiaochao,restaurant,296
How do I make a reservation at Chinese Muslim Xiaochao?,Chinese Muslim Xiaochao,restaurant,297
What is the delivery time for Muslim Xiaochao?,Muslim Xiaochao,restaurant,298
Where is Muslim Xiaochao located?,Muslim Xiaochao,restaurant,299
I'm craving Muslim Xiaochao's special dishes.,Muslim Xiaochao,restaurant,300
Can I order from Muslim Xiaochao online?,Muslim Xiaochao,restaurant,301
Where is Uni Hotpot located?,Uni Hotpot,restaurant,302
What time does Uni Hotpot serve dinner?,Uni Hotpot,restaurant,303
How much does a meal at Uni Hotpot cost?,Uni Hotpot,restaurant,304
Where can I find uni hotpot near my dorm?,uni hotpot,restaurant,305
Is uni hotpot open for dinner tonight?,uni hotpot,restaurant,306
How much does a meal cost at uni hotpot?,uni hotpot,restaurant,307
What's the address of Uni Hot Pot,Uni Hot Pot,restaurant,308
Where is Uni Hot Pot located?,Uni Hot Pot,restaurant,309
Can I book a table at Uni Hot Pot?,Uni Hot Pot,restaurant,310
What's the menu at ZUS Coffee,ZUS Coffee,restaurant,311
I want to go to ZUS Coffee for lunch,ZUS Coffee,restaurant,312
Is ZUS Coffee open on Sunday?,ZUS Coffee,restaurant,313
Where is ZUS Coffee located?,ZUS Coffee,restaurant,314
What is the address of Zus Coffee?,Zus Coffee,restaurant,315
Where is Zus Coffee located on campus?,Zus Coffee,restaurant,316
Can I get a discount at Zus Coffee today?,Zus Coffee,restaurant,317
Where is the ZUS restaurant located?,ZUS,restaurant,318
What time does ZUS open for dinner?,ZUS,restaurant,319
Is ZUS a good place to eat?,ZUS,restaurant,320
Where is Zus located?,Zus,restaurant,321
What time does Zus open?,Zus,restaurant,322
Can I make a reservation at Zus?,Zus,restaurant,323
What is the address of Lakefront Cafe?,Lakefront Cafe,restaurant,324
I want to go to Lakefront Cafe for dinner tonight,Lakefront Cafe,restaurant,325
Is Lakefront Cafe open on weekends?,Lakefront Cafe,restaurant,326
Where can I find the lakefront cafe?,lakefront cafe,restaurant,327
What time does the lakefront cafe open?,lakefront cafe,restaurant,328
Is the lakefront cafe near my dorm?,lakefront cafe,restaurant,329
Where is Lakefront located?,Lakefront,restaurant,330
What are the hours of operation for Lakefront?,Lakefront,restaurant,331
Can I make a reservation at Lakefront?,Lakefront,restaurant,332
What are the operating hours of Lake Front Cafe?,Lake Front Cafe,restaurant,333
Where is Lake Front Cafe located on campus?,Lake Front Cafe,restaurant,334
Can I make a reservation at Lake Front Cafe tonight?,Lake Front Cafe,restaurant,335
Where is Cotti Coffee located?,Cotti Coffee,restaurant,336
What is the menu like at Cotti Coffee?,Cotti Coffee,restaurant,337
Is Cotti Coffee open today?,Cotti Coffee,restaurant,338
Where is Cotti Coffee located on campus?,Cotti Coffee,restaurant,339
Is Cotti Coffee open for breakfast?,Cotti Coffee,restaurant,340
What time does Cotti Coffee close today?,Cotti Coffee,restaurant,341
Where is Cotti located?,Cotti,restaurant,342
What's the menu at Cotti?,Cotti,restaurant,343
Can I make a reservation at Cotti?,Cotti,restaurant,344
What time does cotti open?,cotti,restaurant,345
I love eating at cotti.,cotti,restaurant,346
How late is cotti open?,cotti,restaurant,347
What is the review of Bo Ya Xuan Restaurant?,Bo Ya Xuan Restaurant,restaurant,348
Is Bo Ya Xuan Restaurant open for dinner?,Bo Ya Xuan Restaurant,restaurant,349
Can I make a reservation at Bo Ya Xuan Restaurant?,Bo Ya Xuan Restaurant,restaurant,350
Can you help me find the menu of bo ya xuan restaurant?,bo ya xuan restaurant,restaurant,351
Is bo ya xuan restaurant open for dinner tonight?,bo ya xuan restaurant,restaurant,352
How do I make a reservation at bo ya xuan restaurant?,bo ya xuan restaurant,restaurant,353
Where is Bo Ya Xuan located?,Bo Ya Xuan,restaurant,354
What are the operating hours of Bo Ya Xuan?,Bo Ya Xuan,restaurant,355
Can I make reservations at Bo Ya Xuan?,Bo Ya Xuan,restaurant,356
How do I order from Bo Ya Xuan?,Bo Ya Xuan,restaurant,357
Where is Bo Ya Xuan located?,Bo Ya Xuan,restaurant,358
What time does Bo Ya Xuan open?,Bo Ya Xuan,restaurant,359
Can you reserve a table at Bo Ya Xuan?,Bo Ya Xuan,restaurant,360
Where can I reserve a table at SOI 55 THAI KITCHEN?,SOI 55 THAI KITCHEN,restaurant,361
What are the reviews of SOI 55 THAI KITCHEN?,SOI 55 THAI KITCHEN,restaurant,362
Can you order food from SOI 55 THAI KITCHEN online?,SOI 55 THAI KITCHEN,restaurant,363
What is the address of Soi 55 Thai Kitchen?,soi 55 thai kitchen,restaurant,364
"Soi 55 Thai Kitchen has a great menu, what are the recommendations?",soi 55 thai kitchen,restaurant,365
Is Soi 55 Thai Kitchen open for lunch today?,soi 55 thai kitchen,restaurant,366
What is the address of SOI 55,SOI 55,restaurant,367
Is SOI 55 a Thai restaurant?,SOI 55,restaurant,368
Can I make a reservation at SOI 55?,SOI 55,restaurant,369
I'm looking for Thai Kitchen on campus.,Thai Kitchen,restaurant,370
What's the menu at Thai Kitchen?,Thai Kitchen,restaurant,371
Can you reserve a table at Thai Kitchen?,Thai Kitchen,restaurant,372
What is the opening time of Starbucks nearby?,Starbucks,restaurant,373
Where is the nearest Starbucks?,Starbucks,restaurant,374
Can I reserve a table at Starbucks?,Starbucks,restaurant,375
What is the address of Starbucks near my location?,Starbucks,restaurant,376
Is there a Starbucks in this building?,Starbucks,restaurant,377
How late is Starbucks open tonight?,Starbucks,restaurant,378
What time does STARBUCKS open?,STARBUCKS,restaurant,379
Is STARBUCKS open on Sunday?,STARBUCKS,restaurant,380
Where is the nearest STARBUCKS located?,STARBUCKS,restaurant,381
What are the working hours of B1 Supermarket?,B1 Supermarket,restaurant,382
Is B1 Supermarket open on Sundays?,B1 Supermarket,restaurant,383
Where is B1 Supermarket located?,B1 Supermarket,restaurant,384
What are the business hours of B1 Super Market?,B1 Super Market,restaurant,385
Can I buy snacks at B1 Super Market?,B1 Super Market,restaurant,386
Where can I find B1 Super Market on campus?,B1 Super Market,restaurant,387
Where is the b1 dining area?,b1 dining area,restaurant,388
What time does b1 dining area open for breakfast?,b1 dining area,restaurant,389
Can I reserve a table at the b1 dining area?,b1 dining area,restaurant,390
I want to eat at B1 Dining tonight,B1 Dining,restaurant,391
Can I order takeout from B1 Dining?,B1 Dining,restaurant,392
What are the opening hours of B1 Dining?,B1 Dining,restaurant,393
Where is the Cash Machine located on campus?,Cash Machine,restaurant,394
What are the operating hours of the Cash Machine nearby?,Cash Machine,restaurant,395
Can I withdraw cash from the Cash Machine in the library?,Cash Machine,restaurant,396
Where is the ielts office located?,ielts office,restaurant,397
Can I get my ielts results at the ielts office?,ielts office,restaurant,398
How do I contact the ielts office?,ielts office,restaurant,399
Where is the IELTS Centre located?,IELTS Centre,restaurant,400
What time does the IELTS Centre open?,IELTS Centre,restaurant,401
How do I get a seat at the IELTS Centre?,IELTS Centre,restaurant,402
I'm looking for the yoga room on campus.,yoga room,restaurant,403
Can anyone recommend a good yoga room nearby?,yoga room,restaurant,404
How do I get to the university's yoga room?,yoga room,restaurant,405
Is Yoga Studio open on Sundays?,Yoga Studio,restaurant,406
What time does Yoga Studio close tonight?,Yoga Studio,restaurant,407
Can I reserve a spot at Yoga Studio for tomorrow?,Yoga Studio,restaurant,408
Where is the TCM Clinic located?,TCM Clinic,restaurant,409
What are the opening hours of TCM Clinic today?,TCM Clinic,restaurant,410
Can I make an appointment at TCM Clinic now?,TCM Clinic,restaurant,411
Where is the TCM Clinic located?,TCM Clinic,restaurant,412
Is TCM Clinic open on weekends?,TCM Clinic,restaurant,413
What are the opening hours of TCM Clinic?,TCM Clinic,restaurant,414
Where is PluxHealth Clinic located on campus?,pluxhealth clinic,restaurant,415
What are the opening hours of PluxHealth Clinic today?,pluxhealth clinic,restaurant,416
Can I make an appointment at PluxHealth Clinic?,pluxhealth clinic,restaurant,417
I'm looking for PluX Health's menu,PluX Health,restaurant,418
What time does PluX Health serve lunch?,PluX Health,restaurant,419
Can you tell me the address of PluX Health?,PluX Health,restaurant,420
What is the address of the maintenance office?,maintenance office,restaurant,421
Can I get in touch with someone from the maintenance office?,maintenance office,restaurant,422
Is the maintenance office open today?,maintenance office,restaurant,423
Where is the Repair Office located?,Repair Office,restaurant,424
